RepaymentID,LoanID,CustomerID,DueDateKey,DueDate,PaymentDateKey,PaymentDate,ScheduledAmountUSD,PaidAmountUSD,DaysPastDue,DelinquencyBucket,IsLatePayment,LatePenaltyUSD
REP-100018,LN-10003,CUST-0147,20251030,2025-10-30,20251030,2025-10-30,982.02,982.02,0,0 - Current,0,0.0
REP-100019,LN-10003,CUST-0147,20251130,2025-11-30,20251130,2025-11-30,982.02,982.02,0,0 - Current,0,0.0
REP-100020,LN-10003,CUST-0147,20251230,2025-12-30,20251230,2025-12-30,982.02,982.02,0,0 - Current,0,0.0
REP-100021,LN-10003,CUST-0147,20260130,2026-01-30,20260130,2026-01-30,982.02,982.02,0,0 - Current,0,0.0
REP-100022,LN-10003,CUST-0147,20260301,2026-03-01,20260301,2026-03-01,982.02,982.02,0,0 - Current,0,0.0
REP-100023,LN-10003,CUST-0147,20260401,2026-04-01,20260401,2026-04-01,982.02,982.02,0,0 - Current,0,0.0
REP-100024,LN-10003,CUST-0147,20260501,2026-05-01,20260501,2026-05-01,982.02,982.02,0,0 - Current,0,0.0
REP-100025,LN-10004,CUST-0220,20240821,2024-08-21,20240821,2024-08-21,1847.27,1847.27,0,0 - Current,0,0.0
REP-100026,LN-10004,CUST-0220,20240920,2024-09-20,20240920,2024-09-20,1847.27,1847.27,0,0 - Current,0,0.0
REP-100027,LN-10004,CUST-0220,20241021,2024-10-21,20241021,2024-10-21,1847.27,1847.27,0,0 - Current,0,0.0
REP-100028,LN-10004,CUST-0220,20241120,2024-11-20,20241120,2024-11-20,1847.27,1847.27,0,0 - Current,0,0.0
REP-100029,LN-10004,CUST-0220,20241221,2024-12-21,20241221,2024-12-21,1847.27,1847.27,0,0 - Current,0,0.0
REP-100030,LN-10004,CUST-0220,20250120,2025-01-20,20250120,2025-01-20,1847.27,1847.27,0,0 - Current,0,0.0
REP-100031,LN-10004,CUST-0220,20250220,2025-02-20,20250220,2025-02-20,1847.27,1847.27,0,0 - Current,0,0.0
REP-100032,LN-10004,CUST-0220,20250322,2025-03-22,20250322,2025-03-22,1847.27,1847.27,0,0 - Current,0,0.0
REP-100033,LN-10005,CUST-0392,20240201,2024-02-01,20240201,2024-02-01,839.4,839.4,0,0 - Current,0,0.0
REP-100034,LN-10005,CUST-0392,20240302,2024-03-02,20240302,2024-03-02,839.4,839.4,0,0 - Current,0,0.0
REP-100035,LN-10005,CUST-0392,20240402,2024-04-02,20240402,2024-04-02,839.4,839.4,0,0 - Current,0,0.0
REP-100036,LN-10005,CUST-0392,20240502,2024-05-02,20240502,2024-05-02,839.4,839.4,0,0 - Current,0,0.0
REP-100037,LN-10005,CUST-0392,20240602,2024-06-02,20240602,2024-06-02,839.4,839.4,0,0 - Current,0,0.0
REP-100038,LN-10005,CUST-0392,20240702,2024-07-02,20240702,2024-07-02,839.4,839.4,0,0 - Current,0,0.0
REP-100039,LN-10005,CUST-0392,20240802,2024-08-02,20240802,2024-08-02,839.4,839.4,0,0 - Current,0,0.0
REP-100040,LN-10005,CUST-0392,20240901,2024-09-01,20240901,2024-09-01,839.4,839.4,0,0 - Current,0,0.0
REP-100041,LN-10006,CUST-0281,20230528,2023-05-28,20230528,2023-05-28,7579.51,7579.51,0,0 - Current,0,0.0
REP-100042,LN-10006,CUST-0281,20230627,2023-06-27,20230627,2023-06-27,7579.51,7579.51,0,0 - Current,0,0.0
REP-100043,LN-10006,CUST-0281,20230728,2023-07-28,20230728,2023-07-28,7579.51,7579.51,0,0 - Current,0,0.0
REP-100044,LN-10006,CUST-0281,20230827,2023-08-27,20230827,2023-08-27,7579.51,7579.51,0,0 - Current,0,0.0
REP-100045,LN-10006,CUST-0281,20230927,2023-09-27,20230927,2023-09-27,7579.51,7579.51,0,0 - Current,0,0.0
REP-100046,LN-10006,CUST-0281,20231027,2023-10-27,20231027,2023-10-27,7579.51,7579.51,0,0 - Current,0,0.0
REP-100047,LN-10006,CUST-0281,20231127,2023-11-27,20231127,2023-11-27,7579.51,7579.51,0,0 - Current,0,0.0
REP-100048,LN-10006,CUST-0281,20231227,2023-12-27,20231227,2023-12-27,7579.51,7579.51,0,0 - Current,0,0.0
REP-100049,LN-10007,CUST-0430,20230525,2023-05-25,20230525,2023-05-25,4313.6,4313.6,0,0 - Current,0,0.0
REP-100050,LN-10007,CUST-0430,20230624,2023-06-24,20230624,2023-06-24,4313.6,4313.6,0,0 - Current,0,0.0
REP-100051,LN-10007,CUST-0430,20230725,2023-07-25,20230725,2023-07-25,4313.6,4313.6,0,0 - Current,0,0.0
REP-100052,LN-10007,CUST-0430,20230824,2023-08-24,20230824,2023-08-24,4313.6,4313.6,0,0 - Current,0,0.0
REP-100053,LN-10007,CUST-0430,20230924,2023-09-24,20230924,2023-09-24,4313.6,4313.6,0,0 - Current,0,0.0
REP-100054,LN-10007,CUST-0430,20231024,2023-10-24,20231108,2023-11-08,4313.6,4313.6,15,1-30 Days Past Due,1,25.0
REP-100055,LN-10007,CUST-0430,20231124,2023-11-24,20231124,2023-11-24,4313.6,4313.6,0,0 - Current,0,0.0
REP-100056,LN-10007,CUST-0430,20231224,2023-12-24,20231224,2023-12-24,4313.6,4313.6,0,0 - Current,0,0.0
REP-100057,LN-10008,CUST-0681,20250601,2025-06-01,20250601,2025-06-01,3507.01,3507.01,0,0 - Current,0,0.0
REP-100058,LN-10008,CUST-0681,20250701,2025-07-01,20250701,2025-07-01,3507.01,3507.01,0,0 - Current,0,0.0
REP-100059,LN-10008,CUST-0681,20250801,2025-08-01,20250801,2025-08-01,3507.01,3507.01,0,0 - Current,0,0.0
REP-100060,LN-10008,CUST-0681,20250831,2025-08-31,20250831,2025-08-31,3507.01,3507.01,0,0 - Current,0,0.0
REP-100061,LN-10008,CUST-0681,20251001,2025-10-01,20251001,2025-10-01,3507.01,3507.01,0,0 - Current,0,0.0
REP-100062,LN-10008,CUST-0681,20251031,2025-10-31,20251031,2025-10-31,3507.01,3507.01,0,0 - Current,0,0.0
REP-100063,LN-10008,CUST-0681,20251201,2025-12-01,20251201,2025-12-01,3507.01,3507.01,0,0 - Current,0,0.0
REP-100064,LN-10008,CUST-0681,20251231,2025-12-31,20251231,2025-12-31,3507.01,3507.01,0,0 - Current,0,0.0
REP-100065,LN-10009,CUST-0580,20230730,2023-07-30,20230730,2023-07-30,19059.67,19059.67,0,0 - Current,0,0.0
REP-100066,LN-10009,CUST-0580,20230829,2023-08-29,20230829,2023-08-29,19059.67,19059.67,0,0 - Current,0,0.0
REP-100067,LN-10009,CUST-0580,20230929,2023-09-29,20230929,2023-09-29,19059.67,19059.67,0,0 - Current,0,0.0
REP-100068,LN-10009,CUST-0580,20231029,2023-10-29,20231029,2023-10-29,19059.67,19059.67,0,0 - Current,0,0.0
REP-100069,LN-10009,CUST-0580,20231129,2023-11-29,20231129,2023-11-29,19059.67,19059.67,0,0 - Current,0,0.0
REP-100070,LN-10009,CUST-0580,20231229,2023-12-29,20231229,2023-12-29,19059.67,19059.67,0,0 - Current,0,0.0
REP-100071,LN-10009,CUST-0580,20240129,2024-01-29,20240129,2024-01-29,19059.67,19059.67,0,0 - Current,0,0.0
REP-100072,LN-10009,CUST-0580,20240228,2024-02-28,20240228,2024-02-28,19059.67,19059.67,0,0 - Current,0,0.0
REP-100073,LN-10010,CUST-0766,20231029,2023-10-29,20231029,2023-10-29,730.68,730.68,0,0 - Current,0,0.0
REP-100074,LN-10010,CUST-0766,20231128,2023-11-28,20231128,2023-11-28,730.68,730.68,0,0 - Current,0,0.0
REP-100075,LN-10010,CUST-0766,20231229,2023-12-29,20231229,2023-12-29,730.68,730.68,0,0 - Current,0,0.0
REP-100076,LN-10010,CUST-0766,20240128,2024-01-28,20240128,2024-01-28,730.68,730.68,0,0 - Current,0,0.0
REP-100077,LN-10010,CUST-0766,20240228,2024-02-28,20240228,2024-02-28,730.68,730.68,0,0 - Current,0,0.0
REP-100078,LN-10010,CUST-0766,20240329,2024-03-29,20240329,2024-03-29,730.68,730.68,0,0 - Current,0,0.0
REP-100079,LN-10010,CUST-0766,20240429,2024-04-29,20240429,2024-04-29,730.68,730.68,0,0 - Current,0,0.0
REP-100080,LN-10010,CUST-0766,20240529,2024-05-29,20240529,2024-05-29,730.68,730.68,0,0 - Current,0,0.0
REP-100081,LN-10011,CUST-0850,20240115,2024-01-15,20240119,2024-01-19,8057.89,8057.89,4,1-30 Days Past Due,1,25.0
REP-100082,LN-10011,CUST-0850,20240214,2024-02-14,20240214,2024-02-14,8057.89,8057.89,0,0 - Current,0,0.0
REP-100083,LN-10011,CUST-0850,20240316,2024-03-16,20240316,2024-03-16,8057.89,8057.89,0,0 - Current,0,0.0
REP-100084,LN-10011,CUST-0850,20240415,2024-04-15,20240415,2024-04-15,8057.89,8057.89,0,0 - Current,0,0.0
REP-100085,LN-10011,CUST-0850,20240516,2024-05-16,20240516,2024-05-16,8057.89,8057.89,0,0 - Current,0,0.0
REP-100086,LN-10011,CUST-0850,20240615,2024-06-15,20240615,2024-06-15,8057.89,8057.89,0,0 - Current,0,0.0
REP-100087,LN-10011,CUST-0850,20240716,2024-07-16,20240716,2024-07-16,8057.89,8057.89,0,0 - Current,0,0.0
REP-100088,LN-10011,CUST-0850,20240815,2024-08-15,20240815,2024-08-15,8057.89,8057.89,0,0 - Current,0,0.0
REP-100089,LN-10012,CUST-0265,20250914,2025-09-14,20250914,2025-09-14,338.98,338.98,0,0 - Current,0,0.0
REP-100090,LN-10012,CUST-0265,20251014,2025-10-14,20251014,2025-10-14,338.98,338.98,0,0 - Current,0,0.0
REP-100091,LN-10012,CUST-0265,20251114,2025-11-14,20251114,2025-11-14,338.98,338.98,0,0 - Current,0,0.0
REP-100092,LN-10012,CUST-0265,20251214,2025-12-14,20251214,2025-12-14,338.98,338.98,0,0 - Current,0,0.0
REP-100093,LN-10012,CUST-0265,20260114,2026-01-14,20260114,2026-01-14,338.98,338.98,0,0 - Current,0,0.0
REP-100094,LN-10012,CUST-0265,20260213,2026-02-13,20260213,2026-02-13,338.98,338.98,0,0 - Current,0,0.0
REP-100095,LN-10012,CUST-0265,20260316,2026-03-16,20260316,2026-03-16,338.98,338.98,0,0 - Current,0,0.0
REP-100096,LN-10012,CUST-0265,20260415,2026-04-15,20260415,2026-04-15,338.98,338.98,0,0 - Current,0,0.0
REP-100097,LN-10013,CUST-0925,20240218,2024-02-18,20240218,2024-02-18,2802.02,2802.02,0,0 - Current,0,0.0
REP-100098,LN-10013,CUST-0925,20240319,2024-03-19,20240319,2024-03-19,2802.02,2802.02,0,0 - Current,0,0.0
REP-100099,LN-10013,CUST-0925,20240419,2024-04-19,20240419,2024-04-19,2802.02,2802.02,0,0 - Current,0,0.0
REP-100100,LN-10013,CUST-0925,20240519,2024-05-19,20240519,2024-05-19,2802.02,2802.02,0,0 - Current,0,0.0
REP-100101,LN-10013,CUST-0925,20240619,2024-06-19,20240619,2024-06-19,2802.02,2802.02,0,0 - Current,0,0.0
REP-100102,LN-10013,CUST-0925,20240719,2024-07-19,20240719,2024-07-19,2802.02,2802.02,0,0 - Current,0,0.0
REP-100103,LN-10013,CUST-0925,20240819,2024-08-19,20240819,2024-08-19,2802.02,2802.02,0,0 - Current,0,0.0
REP-100104,LN-10013,CUST-0925,20240918,2024-09-18,20240918,2024-09-18,2802.02,2802.02,0,0 - Current,0,0.0
REP-100105,LN-10014,CUST-0782,20230908,2023-09-08,20230908,2023-09-08,470.36,470.36,0,0 - Current,0,0.0
REP-100106,LN-10014,CUST-0782,20231008,2023-10-08,20231008,2023-10-08,470.36,470.36,0,0 - Current,0,0.0
REP-100107,LN-10014,CUST-0782,20231108,2023-11-08,20231108,2023-11-08,470.36,470.36,0,0 - Current,0,0.0
REP-100108,LN-10014,CUST-0782,20231208,2023-12-08,20231208,2023-12-08,470.36,470.36,0,0 - Current,0,0.0
REP-100109,LN-10014,CUST-0782,20240108,2024-01-08,20240108,2024-01-08,470.36,470.36,0,0 - Current,0,0.0
REP-100110,LN-10014,CUST-0782,20240207,2024-02-07,20240207,2024-02-07,470.36,470.36,0,0 - Current,0,0.0
REP-100111,LN-10014,CUST-0782,20240309,2024-03-09,20240309,2024-03-09,470.36,470.36,0,0 - Current,0,0.0
REP-100112,LN-10014,CUST-0782,20240408,2024-04-08,20240408,2024-04-08,470.36,470.36,0,0 - Current,0,0.0
REP-100113,LN-10015,CUST-0994,20241025,2024-10-25,20241025,2024-10-25,5062.02,5062.02,0,0 - Current,0,0.0
REP-100114,LN-10015,CUST-0994,20241124,2024-11-24,20241124,2024-11-24,5062.02,5062.02,0,0 - Current,0,0.0
REP-100115,LN-10015,CUST-0994,20241225,2024-12-25,20241225,2024-12-25,5062.02,5062.02,0,0 - Current,0,0.0
REP-100116,LN-10015,CUST-0994,20250124,2025-01-24,20250124,2025-01-24,5062.02,5062.02,0,0 - Current,0,0.0
REP-100117,LN-10015,CUST-0994,20250224,2025-02-24,20250224,2025-02-24,5062.02,5062.02,0,0 - Current,0,0.0
REP-100118,LN-10015,CUST-0994,20250326,2025-03-26,20250326,2025-03-26,5062.02,5062.02,0,0 - Current,0,0.0
REP-100119,LN-10015,CUST-0994,20250426,2025-04-26,20250426,2025-04-26,5062.02,5062.02,0,0 - Current,0,0.0
REP-100120,LN-10015,CUST-0994,20250526,2025-05-26,20250526,2025-05-26,5062.02,5062.02,0,0 - Current,0,0.0
REP-100121,LN-10016,CUST-0103,20260302,2026-03-02,20260302,2026-03-02,5470.09,5470.09,0,0 - Current,0,0.0
REP-100122,LN-10016,CUST-0103,20260401,2026-04-01,20260401,2026-04-01,5470.09,5470.09,0,0 - Current,0,0.0
REP-100123,LN-10016,CUST-0103,20260502,2026-05-02,20260502,2026-05-02,5470.09,5470.09,0,0 - Current,0,0.0
REP-100124,LN-10016,CUST-0103,20260601,2026-06-01,20260601,2026-06-01,5470.09,5470.09,0,0 - Current,0,0.0
REP-100125,LN-10016,CUST-0103,20260702,2026-07-02,20260702,2026-07-02,5470.09,5470.09,0,0 - Current,0,0.0
REP-100126,LN-10016,CUST-0103,20260801,2026-08-01,20260801,2026-08-01,5470.09,5470.09,0,0 - Current,0,0.0
REP-100127,LN-10016,CUST-0103,20260901,2026-09-01,20260901,2026-09-01,5470.09,5470.09,0,0 - Current,0,0.0
REP-100128,LN-10016,CUST-0103,20261001,2026-10-01,20261001,2026-10-01,5470.09,5470.09,0,0 - Current,0,0.0
REP-100129,LN-10017,CUST-0501,20260516,2026-05-16,20260516,2026-05-16,2724.59,2724.59,0,0 - Current,0,0.0
REP-100130,LN-10017,CUST-0501,20260615,2026-06-15,20260615,2026-06-15,2724.59,2724.59,0,0 - Current,0,0.0
REP-100131,LN-10017,CUST-0501,20260716,2026-07-16,20260716,2026-07-16,2724.59,2724.59,0,0 - Current,0,0.0
REP-100132,LN-10017,CUST-0501,20260815,2026-08-15,20260815,2026-08-15,2724.59,2724.59,0,0 - Current,0,0.0
REP-100133,LN-10017,CUST-0501,20260915,2026-09-15,20260915,2026-09-15,2724.59,2724.59,0,0 - Current,0,0.0
REP-100134,LN-10017,CUST-0501,20261015,2026-10-15,20261015,2026-10-15,2724.59,2724.59,0,0 - Current,0,0.0
REP-100135,LN-10017,CUST-0501,20261115,2026-11-15,20261115,2026-11-15,2724.59,2724.59,0,0 - Current,0,0.0
REP-100136,LN-10017,CUST-0501,20261215,2026-12-15,20261215,2026-12-15,2724.59,2724.59,0,0 - Current,0,0.0
REP-100137,LN-10018,CUST-0155,20241029,2024-10-29,99991231,Unpaid,659.96,225.16,90,61-90 Days Past Due,1,75.0
REP-100138,LN-10018,CUST-0155,20241128,2024-11-28,99991231,Unpaid,659.96,0.0,118,90+ Days (Non-Performing),1,120.0
REP-100139,LN-10018,CUST-0155,20241229,2024-12-29,20250310,2025-03-10,659.96,153.42,71,61-90 Days Past Due,1,75.0
REP-100140,LN-10018,CUST-0155,20250128,2025-01-28,20250408,2025-04-08,659.96,114.27,70,61-90 Days Past Due,1,75.0
REP-100141,LN-10018,CUST-0155,20250228,2025-02-28,99991231,Unpaid,659.96,0.0,111,90+ Days (Non-Performing),1,120.0
REP-100142,LN-10018,CUST-0155,20250330,2025-03-30,20250609,2025-06-09,659.96,216.42,71,61-90 Days Past Due,1,75.0
REP-100143,LN-10018,CUST-0155,20250430,2025-04-30,99991231,Unpaid,659.96,265.16,90,61-90 Days Past Due,1,75.0
REP-100144,LN-10018,CUST-0155,20250530,2025-05-30,20250803,2025-08-03,659.96,53.09,65,61-90 Days Past Due,1,75.0
REP-100145,LN-10019,CUST-0132,20251204,2025-12-04,20260116,2026-01-16,685.45,487.51,43,31-60 Days Past Due,1,50.0
REP-100146,LN-10019,CUST-0132,20260103,2026-01-03,20260204,2026-02-04,685.45,446.56,32,31-60 Days Past Due,1,50.0
REP-100147,LN-10019,CUST-0132,20260203,2026-02-03,20260314,2026-03-14,685.45,597.05,39,31-60 Days Past Due,1,50.0
REP-100148,LN-10019,CUST-0132,20260305,2026-03-05,20260408,2026-04-08,685.45,549.61,34,31-60 Days Past Due,1,50.0
REP-100149,LN-10019,CUST-0132,20260405,2026-04-05,20260531,2026-05-31,685.45,653.99,56,31-60 Days Past Due,1,50.0
REP-100150,LN-10019,CUST-0132,20260505,2026-05-05,20260621,2026-06-21,685.45,470.5,47,31-60 Days Past Due,1,50.0
REP-100151,LN-10019,CUST-0132,20260605,2026-06-05,20260721,2026-07-21,685.45,586.75,46,31-60 Days Past Due,1,50.0
REP-100152,LN-10019,CUST-0132,20260705,2026-07-05,20260901,2026-09-01,685.45,526.09,58,31-60 Days Past Due,1,50.0
REP-100153,LN-10020,CUST-0374,20240201,2024-02-01,20240201,2024-02-01,4148.55,4148.55,0,0 - Current,0,0.0
REP-100154,LN-10020,CUST-0374,20240302,2024-03-02,20240302,2024-03-02,4148.55,4148.55,0,0 - Current,0,0.0
REP-100155,LN-10020,CUST-0374,20240402,2024-04-02,20240402,2024-04-02,4148.55,4148.55,0,0 - Current,0,0.0
REP-100156,LN-10020,CUST-0374,20240502,2024-05-02,20240502,2024-05-02,4148.55,4148.55,0,0 - Current,0,0.0
REP-100157,LN-10020,CUST-0374,20240602,2024-06-02,20240602,2024-06-02,4148.55,4148.55,0,0 - Current,0,0.0
REP-100158,LN-10020,CUST-0374,20240702,2024-07-02,20240702,2024-07-02,4148.55,4148.55,0,0 - Current,0,0.0
REP-100159,LN-10020,CUST-0374,20240802,2024-08-02,20240802,2024-08-02,4148.55,4148.55,0,0 - Current,0,0.0
REP-100160,LN-10020,CUST-0374,20240901,2024-09-01,20240901,2024-09-01,4148.55,4148.55,0,0 - Current,0,0.0
REP-100161,LN-10021,CUST-0703,20240630,2024-06-30,20240630,2024-06-30,384.06,384.06,0,0 - Current,0,0.0
REP-100162,LN-10021,CUST-0703,20240730,2024-07-30,20240730,2024-07-30,384.06,384.06,0,0 - Current,0,0.0
REP-100163,LN-10021,CUST-0703,20240830,2024-08-30,20240830,2024-08-30,384.06,384.06,0,0 - Current,0,0.0
REP-100164,LN-10021,CUST-0703,20240929,2024-09-29,20240929,2024-09-29,384.06,384.06,0,0 - Current,0,0.0
REP-100165,LN-10021,CUST-0703,20241030,2024-10-30,20241030,2024-10-30,384.06,384.06,0,0 - Current,0,0.0
REP-100166,LN-10021,CUST-0703,20241129,2024-11-29,20241129,2024-11-29,384.06,384.06,0,0 - Current,0,0.0
REP-100167,LN-10021,CUST-0703,20241230,2024-12-30,20241230,2024-12-30,384.06,384.06,0,0 - Current,0,0.0
REP-100168,LN-10021,CUST-0703,20250129,2025-01-29,20250129,2025-01-29,384.06,384.06,0,0 - Current,0,0.0
REP-100169,LN-10022,CUST-0130,20231123,2023-11-23,20231123,2023-11-23,1923.49,1923.49,0,0 - Current,0,0.0
REP-100170,LN-10022,CUST-0130,20231223,2023-12-23,20231223,2023-12-23,1923.49,1923.49,0,0 - Current,0,0.0
REP-100171,LN-10022,CUST-0130,20240123,2024-01-23,20240123,2024-01-23,1923.49,1923.49,0,0 - Current,0,0.0
REP-100172,LN-10022,CUST-0130,20240222,2024-02-22,20240222,2024-02-22,1923.49,1923.49,0,0 - Current,0,0.0
REP-100173,LN-10022,CUST-0130,20240324,2024-03-24,20240324,2024-03-24,1923.49,1923.49,0,0 - Current,0,0.0
REP-100174,LN-10022,CUST-0130,20240423,2024-04-23,20240423,2024-04-23,1923.49,1923.49,0,0 - Current,0,0.0
REP-100175,LN-10022,CUST-0130,20240524,2024-05-24,20240524,2024-05-24,1923.49,1923.49,0,0 - Current,0,0.0
REP-100176,LN-10022,CUST-0130,20240623,2024-06-23,20240623,2024-06-23,1923.49,1923.49,0,0 - Current,0,0.0
REP-100177,LN-10023,CUST-0525,20230711,2023-07-11,20230711,2023-07-11,3536.87,3536.87,0,0 - Current,0,0.0
REP-100178,LN-10023,CUST-0525,20230810,2023-08-10,20230810,2023-08-10,3536.87,3536.87,0,0 - Current,0,0.0
REP-100179,LN-10023,CUST-0525,20230910,2023-09-10,20230910,2023-09-10,3536.87,3536.87,0,0 - Current,0,0.0
REP-100180,LN-10023,CUST-0525,20231010,2023-10-10,20231010,2023-10-10,3536.87,3536.87,0,0 - Current,0,0.0
REP-100181,LN-10023,CUST-0525,20231110,2023-11-10,20231110,2023-11-10,3536.87,3536.87,0,0 - Current,0,0.0
REP-100182,LN-10023,CUST-0525,20231210,2023-12-10,20231215,2023-12-15,3536.87,3536.87,5,1-30 Days Past Due,1,25.0
REP-100183,LN-10023,CUST-0525,20240110,2024-01-10,20240110,2024-01-10,3536.87,3536.87,0,0 - Current,0,0.0
REP-100184,LN-10023,CUST-0525,20240209,2024-02-09,20240209,2024-02-09,3536.87,3536.87,0,0 - Current,0,0.0
REP-100185,LN-10024,CUST-0711,20250307,2025-03-07,20250307,2025-03-07,2584.48,2584.48,0,0 - Current,0,0.0
REP-100186,LN-10024,CUST-0711,20250406,2025-04-06,20250406,2025-04-06,2584.48,2584.48,0,0 - Current,0,0.0
REP-100187,LN-10024,CUST-0711,20250507,2025-05-07,20250507,2025-05-07,2584.48,2584.48,0,0 - Current,0,0.0
REP-100188,LN-10024,CUST-0711,20250606,2025-06-06,20250606,2025-06-06,2584.48,2584.48,0,0 - Current,0,0.0
REP-100189,LN-10024,CUST-0711,20250707,2025-07-07,20250707,2025-07-07,2584.48,2584.48,0,0 - Current,0,0.0
REP-100190,LN-10024,CUST-0711,20250806,2025-08-06,20250806,2025-08-06,2584.48,2584.48,0,0 - Current,0,0.0
REP-100191,LN-10024,CUST-0711,20250906,2025-09-06,20250906,2025-09-06,2584.48,2584.48,0,0 - Current,0,0.0
REP-100192,LN-10024,CUST-0711,20251006,2025-10-06,20251006,2025-10-06,2584.48,2584.48,0,0 - Current,0,0.0
REP-100193,LN-10025,CUST-0651,20230817,2023-08-17,20230817,2023-08-17,283.87,283.87,0,0 - Current,0,0.0
REP-100194,LN-10025,CUST-0651,20230916,2023-09-16,20230916,2023-09-16,283.87,283.87,0,0 - Current,0,0.0
REP-100195,LN-10025,CUST-0651,20231017,2023-10-17,20231017,2023-10-17,283.87,283.87,0,0 - Current,0,0.0
REP-100196,LN-10025,CUST-0651,20231116,2023-11-16,20231116,2023-11-16,283.87,283.87,0,0 - Current,0,0.0
REP-100197,LN-10025,CUST-0651,20231217,2023-12-17,20231217,2023-12-17,283.87,283.87,0,0 - Current,0,0.0
REP-100198,LN-10025,CUST-0651,20240116,2024-01-16,20240116,2024-01-16,283.87,283.87,0,0 - Current,0,0.0
REP-100199,LN-10025,CUST-0651,20240216,2024-02-16,20240216,2024-02-16,283.87,283.87,0,0 - Current,0,0.0
REP-100200,LN-10025,CUST-0651,20240317,2024-03-17,20240317,2024-03-17,283.87,283.87,0,0 - Current,0,0.0
REP-100201,LN-10026,CUST-0875,20251117,2025-11-17,20251117,2025-11-17,2644.62,2644.62,0,0 - Current,0,0.0
REP-100202,LN-10026,CUST-0875,20251217,2025-12-17,20251217,2025-12-17,2644.62,2644.62,0,0 - Current,0,0.0
REP-100203,LN-10026,CUST-0875,20260117,2026-01-17,20260126,2026-01-26,2644.62,2644.62,9,1-30 Days Past Due,1,25.0
REP-100204,LN-10026,CUST-0875,20260216,2026-02-16,20260216,2026-02-16,2644.62,2644.62,0,0 - Current,0,0.0
REP-100205,LN-10026,CUST-0875,20260319,2026-03-19,20260319,2026-03-19,2644.62,2644.62,0,0 - Current,0,0.0
REP-100206,LN-10026,CUST-0875,20260418,2026-04-18,20260418,2026-04-18,2644.62,2644.62,0,0 - Current,0,0.0
REP-100207,LN-10026,CUST-0875,20260519,2026-05-19,20260519,2026-05-19,2644.62,2644.62,0,0 - Current,0,0.0
REP-100208,LN-10026,CUST-0875,20260618,2026-06-18,20260618,2026-06-18,2644.62,2644.62,0,0 - Current,0,0.0
REP-100209,LN-10027,CUST-0599,20250120,2025-01-20,20250120,2025-01-20,615.52,615.52,0,0 - Current,0,0.0
REP-100210,LN-10027,CUST-0599,20250219,2025-02-19,20250219,2025-02-19,615.52,615.52,0,0 - Current,0,0.0
REP-100211,LN-10027,CUST-0599,20250322,2025-03-22,20250322,2025-03-22,615.52,615.52,0,0 - Current,0,0.0
REP-100212,LN-10027,CUST-0599,20250421,2025-04-21,20250421,2025-04-21,615.52,615.52,0,0 - Current,0,0.0
