LoanID,CustomerID,ProductID,BranchID,DisbursalDateKey,DisbursalDate,MaturityDate,LoanAmountUSD,InterestRate,TenureMonths,MonthlyEMI_USD,LoanPurpose,CollateralValueUSD,ApprovalRiskRating,LoanStatus,IsNonPerformingAsset,WriteOffAmountUSD
LN-10029,CUST-0161,PRD-AUTO,BR-107,20250330,2025-03-30,2030-03-30,15200.0,0.123,60,340.42,Certified Pre-Owned Luxury Car,22698.47,DDD - High Default Probability,Current / Performing,0,0.0
LN-10030,CUST-0024,PRD-PERS,BR-104,20260602,2026-06-02,2030-06-02,8300.0,0.15,48,231.0,Wedding & Family,0.0,CCC - Elevated Risk,Delinquent (31-60 DPD),0,0.0
LN-10031,CUST-0246,PRD-AUTO,BR-102,20250825,2025-08-25,2029-08-25,31100.0,0.083,48,763.63,Certified Pre-Owned Luxury Car,36672.06,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10032,CUST-0986,PRD-MORT,BR-112,20230115,2023-01-15,2043-01-15,643300.0,0.0675,240,4891.42,Refinance Existing Mortgage,990796.65,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10033,CUST-0843,PRD-EQUIP,BR-108,20230323,2023-03-23,2028-03-22,86900.0,0.114,60,1906.8,Medical Imaging Scanner,124542.53,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10034,CUST-0338,PRD-EQUIP,BR-109,20230601,2023-06-01,2028-05-31,164400.0,0.114,60,3607.34,Warehouse Forklift Fleet,244730.13,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10035,CUST-0315,PRD-EQUIP,BR-105,20231121,2023-11-21,2028-11-20,98700.0,0.084,60,2020.23,Warehouse Forklift Fleet,143408.67,AAA - Low Risk,Current / Performing,0,0.0
LN-10036,CUST-0530,PRD-SME,BR-108,20250903,2025-09-03,2028-09-02,439000.0,0.09,36,13960.08,Inventory Stocking Q4,620838.6,AAA - Low Risk,Current / Performing,0,0.0
LN-10037,CUST-0797,PRD-EQUIP,BR-101,20230902,2023-09-02,2027-09-02,80300.0,0.114,48,2091.03,Warehouse Forklift Fleet,112920.56,DDD - High Default Probability,Current / Performing,0,0.0
LN-10038,CUST-0867,PRD-EQUIP,BR-103,20260106,2026-01-06,2028-01-06,175400.0,0.094,24,8045.33,Industrial CNC Machine,236962.73,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10039,CUST-0940,PRD-MORT,BR-103,20230929,2023-09-29,2053-09-28,396800.0,0.0675,360,2573.64,Primary Residence Purchase,496957.8,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10040,CUST-0583,PRD-MORT,BR-107,20260406,2026-04-06,2046-04-06,759700.0,0.0575,240,5333.73,Primary Residence Purchase,1119791.46,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10041,CUST-0889,PRD-EDU,BR-104,20240524,2024-05-24,2031-05-24,29300.0,0.064,84,433.67,Medical Residency Program,0.0,AAA - Low Risk,Current / Performing,0,0.0
LN-10042,CUST-0654,PRD-EQUIP,BR-101,20260108,2026-01-08,2029-01-07,55000.0,0.114,36,1811.07,Industrial CNC Machine,82130.6,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10043,CUST-0161,PRD-PERS,BR-107,20251123,2025-11-23,2029-11-23,23900.0,0.17,48,689.64,Wedding & Family,0.0,DDD - High Default Probability,Current / Performing,0,0.0
LN-10044,CUST-0781,PRD-SME,BR-105,20230424,2023-04-24,2030-04-23,191400.0,0.09,84,3079.45,Inventory Stocking Q4,304085.52,AAA - Low Risk,Current / Performing,0,0.0
LN-10045,CUST-0877,PRD-PERS,BR-106,20230807,2023-08-07,2025-08-06,10800.0,0.13,24,513.45,Emergency Medical Exp,0.0,BBB - Moderate Risk,Fully Paid,0,0.0
LN-10046,CUST-0551,PRD-PERS,BR-106,20250616,2025-06-16,2029-06-16,6600.0,0.12,48,173.8,Home Renovation,0.0,AAA - Low Risk,Current / Performing,0,0.0
LN-10047,CUST-0299,PRD-EQUIP,BR-105,20230214,2023-02-14,2026-02-13,144700.0,0.094,36,4628.41,Industrial CNC Machine,223102.28,BBB - Moderate Risk,Fully Paid,0,0.0
LN-10048,CUST-0619,PRD-EQUIP,BR-107,20230217,2023-02-17,2026-02-16,43500.0,0.134,36,1474.08,Warehouse Forklift Fleet,58390.0,DDD - High Default Probability,Fully Paid,0,0.0
LN-10049,CUST-0650,PRD-MORT,BR-105,20230604,2023-06-04,2043-06-04,833200.0,0.0675,240,6335.35,Primary Residence Purchase,1157559.01,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10050,CUST-0664,PRD-EDU,BR-106,20241126,2024-11-26,2034-11-26,46900.0,0.064,120,530.16,Medical Residency Program,0.0,AAA - Low Risk,Delinquent (31-60 DPD),0,0.0
LN-10051,CUST-0670,PRD-EQUIP,BR-105,20240215,2024-02-15,2029-02-14,163500.0,0.134,60,3753.69,Medical Imaging Scanner,251832.41,DDD - High Default Probability,In Default (90+ DPD),1,0.0
LN-10052,CUST-0951,PRD-AUTO,BR-108,20240303,2024-03-03,2028-03-03,30100.0,0.103,48,767.76,Certified Pre-Owned Luxury Car,48038.14,CCC - Elevated Risk,Delinquent (31-60 DPD),0,0.0
LN-10053,CUST-0790,PRD-SME,BR-105,20260423,2026-04-23,2028-04-22,87100.0,0.09,24,3979.14,Inventory Stocking Q4,120025.24,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10054,CUST-0468,PRD-MORT,BR-103,20230115,2023-01-15,2043-01-15,722200.0,0.0575,240,5070.45,Refinance Existing Mortgage,1143030.23,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10055,CUST-0145,PRD-AUTO,BR-110,20231230,2023-12-30,2026-12-29,21400.0,0.073,36,663.71,New EV Purchase,25960.32,AAA - Low Risk,Fully Paid,0,0.0
LN-10056,CUST-0685,PRD-AUTO,BR-107,20250117,2025-01-17,2028-01-17,54300.0,0.073,36,1684.08,New EV Purchase,74602.77,AAA - Low Risk,Current / Performing,0,0.0
LN-10057,CUST-0538,PRD-AUTO,BR-106,20231120,2023-11-20,2026-11-19,15700.0,0.073,36,486.93,New EV Purchase,18705.86,BBB - Moderate Risk,Fully Paid,0,0.0
LN-10058,CUST-0673,PRD-EDU,BR-110,20250118,2025-01-18,2029-01-18,43400.0,0.074,48,1047.34,Medical Residency Program,0.0,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10059,CUST-0309,PRD-PERS,BR-103,20250804,2025-08-04,2029-08-04,19500.0,0.12,48,513.51,Emergency Medical Exp,0.0,AAA - Low Risk,Current / Performing,0,0.0
LN-10060,CUST-0814,PRD-AUTO,BR-110,20231128,2023-11-28,2029-11-27,31100.0,0.103,72,580.87,Fleet Commercial Van,42493.47,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10061,CUST-0350,PRD-SME,BR-105,20260129,2026-01-29,2033-01-28,315300.0,0.14,84,5908.73,Technology & IT Modernization,470891.47,DDD - High Default Probability,Charged Off / Written Off,1,186636.01
LN-10062,CUST-0447,PRD-EDU,BR-107,20230619,2023-06-19,2033-06-18,22800.0,0.074,120,269.45,Medical Residency Program,0.0,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10063,CUST-0544,PRD-AUTO,BR-103,20250205,2025-02-05,2028-02-05,20000.0,0.103,36,648.16,New EV Purchase,28714.17,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10064,CUST-0739,PRD-PERS,BR-110,20230101,2023-01-01,2024-12-31,11000.0,0.12,24,517.81,Emergency Medical Exp,0.0,AAA - Low Risk,Fully Paid,0,0.0
LN-10065,CUST-0255,PRD-PERS,BR-103,20230525,2023-05-25,2027-05-25,33800.0,0.13,48,906.77,Emergency Medical Exp,0.0,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10066,CUST-0677,PRD-SME,BR-105,20240903,2024-09-03,2026-09-03,266500.0,0.12,24,12545.08,New Branch Expansion,324904.67,CCC - Elevated Risk,Fully Paid,0,0.0
LN-10067,CUST-0299,PRD-AUTO,BR-105,20251206,2025-12-06,2028-12-05,19400.0,0.083,36,610.61,Fleet Commercial Van,27576.95,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10068,CUST-0683,PRD-PERS,BR-102,20241231,2024-12-31,2026-12-31,3400.0,0.12,24,160.05,Wedding & Family,0.0,AAA - Low Risk,Fully Paid,0,0.0
LN-10069,CUST-0617,PRD-MORT,BR-111,20260424,2026-04-24,2046-04-24,574200.0,0.1075,240,5829.44,Primary Residence Purchase,910123.26,DDD - High Default Probability,Under Restructuring,1,0.0
LN-10070,CUST-0644,PRD-EQUIP,BR-103,20250603,2025-06-03,2027-06-03,58500.0,0.084,24,2656.48,Industrial CNC Machine,67910.6,AAA - Low Risk,Current / Performing,0,0.0
LN-10071,CUST-0651,PRD-PERS,BR-102,20231125,2023-11-25,2027-11-25,20900.0,0.15,48,581.66,Emergency Medical Exp,0.0,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10072,CUST-0416,PRD-PERS,BR-110,20251015,2025-10-15,2028-10-14,27200.0,0.15,36,942.9,Home Renovation,0.0,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10073,CUST-0552,PRD-AUTO,BR-107,20250326,2025-03-26,2028-03-25,24900.0,0.073,36,772.26,New EV Purchase,36609.21,AAA - Low Risk,Current / Performing,0,0.0
LN-10074,CUST-0332,PRD-AUTO,BR-105,20250625,2025-06-25,2028-06-24,27300.0,0.083,36,859.27,New EV Purchase,39595.5,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10075,CUST-0582,PRD-AUTO,BR-101,20250424,2025-04-24,2028-04-23,57400.0,0.073,36,1780.23,Fleet Commercial Van,76332.1,BBB - Moderate Risk,Delinquent (31-60 DPD),0,0.0
LN-10076,CUST-0881,PRD-EQUIP,BR-101,20240520,2024-05-20,2029-05-20,114700.0,0.094,60,2403.31,Industrial CNC Machine,182539.88,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10077,CUST-0634,PRD-SME,BR-111,20251015,2025-10-15,2032-10-14,75900.0,0.09,84,1221.16,Inventory Stocking Q4,88040.34,AAA - Low Risk,Current / Performing,0,0.0
LN-10078,CUST-0966,PRD-AUTO,BR-108,20250322,2025-03-22,2029-03-22,48100.0,0.083,48,1181.05,Certified Pre-Owned Luxury Car,66968.57,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10079,CUST-0073,PRD-EDU,BR-107,20230511,2023-05-11,2033-05-10,39000.0,0.074,120,460.9,Master of Science in Data Analytics,0.0,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10080,CUST-0486,PRD-AUTO,BR-104,20241204,2024-12-04,2027-12-04,19800.0,0.073,36,614.09,Certified Pre-Owned Luxury Car,24350.73,AAA - Low Risk,Current / Performing,0,0.0
LN-10081,CUST-0383,PRD-MORT,BR-109,20231212,2023-12-12,2043-12-12,826300.0,0.0575,240,5801.32,Investment Property Buy,954922.12,AAA - Low Risk,Current / Performing,0,0.0
LN-10082,CUST-0384,PRD-EDU,BR-110,20231229,2023-12-29,2033-12-28,59400.0,0.114,120,831.74,Master of Science in Data Analytics,0.0,DDD - High Default Probability,Current / Performing,0,0.0
LN-10083,CUST-0510,PRD-AUTO,BR-108,20260520,2026-05-20,2029-05-19,64900.0,0.083,36,2042.72,Certified Pre-Owned Luxury Car,102023.98,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10084,CUST-0944,PRD-SME,BR-103,20260425,2026-04-25,2028-04-24,389100.0,0.1,24,17954.99,Working Capital Expansion,563642.74,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10085,CUST-0025,PRD-SME,BR-111,20230802,2023-08-02,2030-08-01,274500.0,0.1,84,4557.03,New Branch Expansion,353461.0,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10086,CUST-0049,PRD-PERS,BR-110,20250227,2025-02-27,2029-02-27,14300.0,0.12,48,376.57,Debt Consolidation,0.0,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10087,CUST-0212,PRD-EDU,BR-112,20230201,2023-02-01,2027-02-01,74500.0,0.094,48,1868.12,Master of Science in Data Analytics,0.0,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10088,CUST-0685,PRD-PERS,BR-107,20250515,2025-05-15,2029-05-15,9600.0,0.12,48,252.8,Emergency Medical Exp,0.0,AAA - Low Risk,Current / Performing,0,0.0
LN-10089,CUST-0073,PRD-EQUIP,BR-107,20230823,2023-08-23,2025-08-22,49600.0,0.094,24,2275.08,Warehouse Forklift Fleet,58524.29,BBB - Moderate Risk,Fully Paid,0,0.0
LN-10090,CUST-0207,PRD-MORT,BR-102,20260210,2026-02-10,2046-02-10,330500.0,0.0675,240,2513.0,Investment Property Buy,528139.43,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10091,CUST-0786,PRD-AUTO,BR-105,20240306,2024-03-06,2030-03-06,17200.0,0.123,72,338.95,New EV Purchase,27122.08,DDD - High Default Probability,Delinquent (31-60 DPD),0,0.0
LN-10092,CUST-0893,PRD-SME,BR-101,20230523,2023-05-23,2027-05-23,290700.0,0.1,48,7372.9,Technology & IT Modernization,407149.74,BBB - Moderate Risk,Delinquent (61-90 DPD),1,0.0
LN-10093,CUST-0060,PRD-SME,BR-101,20260307,2026-03-07,2028-03-06,392800.0,0.09,24,17944.97,Working Capital Expansion,551348.79,AAA - Low Risk,Current / Performing,0,0.0
LN-10094,CUST-0942,PRD-AUTO,BR-109,20250719,2025-07-19,2031-07-19,59000.0,0.073,72,1014.41,New EV Purchase,71684.02,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10095,CUST-0642,PRD-PERS,BR-111,20240302,2024-03-02,2028-03-02,16500.0,0.15,48,459.21,Wedding & Family,0.0,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10096,CUST-0922,PRD-SME,BR-112,20260127,2026-01-27,2033-01-26,199900.0,0.14,84,3746.13,Technology & IT Modernization,249091.62,DDD - High Default Probability,In Default (90+ DPD),1,0.0
LN-10097,CUST-0053,PRD-AUTO,BR-102,20240320,2024-03-20,2030-03-20,42600.0,0.073,72,732.44,New EV Purchase,61635.52,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10098,CUST-0252,PRD-EQUIP,BR-102,20230925,2023-09-25,2028-09-24,74000.0,0.084,60,1514.66,Medical Imaging Scanner,102768.58,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10099,CUST-0068,PRD-PERS,BR-108,20241008,2024-10-08,2028-10-08,18200.0,0.12,48,479.28,Home Renovation,0.0,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10100,CUST-0117,PRD-EQUIP,BR-101,20231028,2023-10-28,2028-10-27,40000.0,0.084,60,818.73,Industrial CNC Machine,48440.78,AAA - Low Risk,Current / Performing,0,0.0
LN-10101,CUST-0088,PRD-PERS,BR-105,20230522,2023-05-22,2026-05-21,7300.0,0.12,36,242.46,Emergency Medical Exp,0.0,AAA - Low Risk,Fully Paid,0,0.0
LN-10102,CUST-0913,PRD-EDU,BR-106,20250505,2025-05-05,2029-05-05,35600.0,0.064,48,842.61,MBA Program Tuition,0.0,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10103,CUST-0676,PRD-MORT,BR-110,20241112,2024-11-12,2054-11-12,220400.0,0.0675,360,1429.51,Investment Property Buy,254519.03,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10104,CUST-0355,PRD-EQUIP,BR-103,20240619,2024-06-19,2029-06-19,54900.0,0.094,60,1150.32,Warehouse Forklift Fleet,69723.14,CCC - Elevated Risk,Delinquent (31-60 DPD),0,0.0
LN-10105,CUST-0798,PRD-MORT,BR-104,20230604,2023-06-04,2043-06-04,670000.0,0.0675,240,5094.44,Investment Property Buy,1013806.35,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10106,CUST-0736,PRD-MORT,BR-103,20230108,2023-01-08,2043-01-08,714500.0,0.0675,240,5432.8,Primary Residence Purchase,889265.68,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10107,CUST-0082,PRD-AUTO,BR-108,20240209,2024-02-09,2029-02-08,22200.0,0.083,60,453.33,Fleet Commercial Van,31278.59,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10108,CUST-0354,PRD-EQUIP,BR-112,20240508,2024-05-08,2029-05-08,26100.0,0.084,60,534.22,Medical Imaging Scanner,32970.84,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10109,CUST-0939,PRD-PERS,BR-104,20260525,2026-05-25,2028-05-24,21200.0,0.13,24,1007.89,Emergency Medical Exp,0.0,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10110,CUST-0333,PRD-SME,BR-110,20250807,2025-08-07,2032-08-06,230900.0,0.09,84,3714.97,Inventory Stocking Q4,342202.26,BBB - Moderate Risk,Delinquent (31-60 DPD),0,0.0
LN-10111,CUST-0017,PRD-SME,BR-104,20250825,2025-08-25,2028-08-24,158400.0,0.14,36,5413.74,Inventory Stocking Q4,183705.4,DDD - High Default Probability,Current / Performing,0,0.0
LN-10112,CUST-0623,PRD-PERS,BR-103,20231017,2023-10-17,2027-10-17,19600.0,0.13,48,525.82,Wedding & Family,0.0,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10113,CUST-0379,PRD-EDU,BR-102,20250827,2025-08-27,2029-08-27,11200.0,0.074,48,270.28,MBA Program Tuition,0.0,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10114,CUST-0330,PRD-EQUIP,BR-103,20260318,2026-03-18,2030-03-18,134800.0,0.094,48,3380.17,Medical Imaging Scanner,169397.5,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10115,CUST-0461,PRD-SME,BR-107,20240131,2024-01-31,2029-01-30,334800.0,0.12,60,7447.44,Technology & IT Modernization,512745.45,DDD - High Default Probability,In Default (90+ DPD),1,0.0
LN-10116,CUST-0550,PRD-AUTO,BR-110,20240121,2024-01-21,2027-01-20,29800.0,0.083,36,937.95,New EV Purchase,44132.99,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10117,CUST-0932,PRD-AUTO,BR-104,20250703,2025-07-03,2031-07-03,42800.0,0.083,72,756.71,Fleet Commercial Van,57774.12,BBB - Moderate Risk,Delinquent (31-60 DPD),0,0.0
LN-10118,CUST-0385,PRD-EDU,BR-110,20230222,2023-02-22,2033-02-21,55200.0,0.094,120,711.26,MBA Program Tuition,0.0,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10119,CUST-0168,PRD-EQUIP,BR-101,20240426,2024-04-26,2026-04-26,142000.0,0.084,24,6448.21,Warehouse Forklift Fleet,184908.3,BBB - Moderate Risk,Fully Paid,0,0.0
LN-10120,CUST-0268,PRD-AUTO,BR-110,20240505,2024-05-05,2027-05-05,47200.0,0.103,36,1529.67,Fleet Commercial Van,54794.54,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10121,CUST-0686,PRD-EQUIP,BR-110,20250429,2025-04-29,2030-04-29,35500.0,0.094,60,743.83,Industrial CNC Machine,50244.96,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10122,CUST-0524,PRD-SME,BR-108,20231124,2023-11-24,2027-11-24,351700.0,0.14,48,9610.72,Technology & IT Modernization,457392.39,DDD - High Default Probability,Current / Performing,0,0.0
LN-10123,CUST-0205,PRD-EDU,BR-102,20240903,2024-09-03,2028-09-03,72100.0,0.074,48,1739.94,MBA Program Tuition,0.0,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10124,CUST-0469,PRD-SME,BR-109,20260517,2026-05-17,2029-05-16,418300.0,0.09,36,13301.83,New Branch Expansion,586612.81,AAA - Low Risk,Delinquent (61-90 DPD),1,0.0
LN-10125,CUST-0747,PRD-EDU,BR-108,20231123,2023-11-23,2027-11-23,13700.0,0.114,48,356.75,Master of Science in Data Analytics,0.0,DDD - High Default Probability,Delinquent (61-90 DPD),1,0.0
LN-10126,CUST-0652,PRD-EQUIP,BR-111,20230304,2023-03-04,2028-03-03,52100.0,0.094,60,1091.65,Industrial CNC Machine,61933.5,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10127,CUST-0423,PRD-AUTO,BR-111,20230128,2023-01-28,2026-01-27,47800.0,0.083,36,1504.5,Certified Pre-Owned Luxury Car,70239.99,BBB - Moderate Risk,Fully Paid,0,0.0
LN-10128,CUST-0501,PRD-AUTO,BR-108,20230407,2023-04-07,2028-04-06,33200.0,0.083,60,677.95,Fleet Commercial Van,43667.42,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10129,CUST-0770,PRD-SME,BR-112,20260115,2026-01-15,2033-01-14,194100.0,0.1,84,3222.29,New Branch Expansion,230765.59,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10130,CUST-0763,PRD-AUTO,BR-103,20260320,2026-03-20,2029-03-19,63900.0,0.103,36,2070.89,New EV Purchase,97198.83,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10131,CUST-0334,PRD-EQUIP,BR-104,20250203,2025-02-03,2030-02-03,170200.0,0.094,60,3566.2,Medical Imaging Scanner,246041.35,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10132,CUST-0508,PRD-AUTO,BR-109,20230528,2023-05-28,2028-05-27,27100.0,0.083,60,553.39,Certified Pre-Owned Luxury Car,34858.35,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10133,CUST-0715,PRD-EDU,BR-110,20240906,2024-09-06,2031-09-06,37100.0,0.064,84,549.12,Master of Science in Data Analytics,0.0,AAA - Low Risk,Current / Performing,0,0.0
LN-10134,CUST-0433,PRD-EQUIP,BR-108,20260417,2026-04-17,2031-04-17,172100.0,0.114,60,3776.29,Medical Imaging Scanner,235886.94,CCC - Elevated Risk,In Default (90+ DPD),1,0.0
LN-10135,CUST-0647,PRD-MORT,BR-103,20250720,2025-07-20,2045-07-20,686900.0,0.1075,240,6973.61,Primary Residence Purchase,976513.48,DDD - High Default Probability,Current / Performing,0,0.0
